balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,purple,2,0_16_greedy,1,1
1,blue,1,0_16_greedy,1,1
2,orange,7,0_16_greedy,1,2
3,red,1,0_16_greedy,1,2
4,purple,1,0_16_greedy,3,2
5,red,11,0_16_greedy,1,3
6,blue,1,0_16_greedy,1,3
7,blue,6,0_16_greedy,1,4
8,orange,1,0_16_greedy,3,4
9,blue,8,0_16_greedy,1,5
10,blue,5,0_16_greedy,1000,5
11,blue,16,0_16_greedy,2,7
12,orange,6,0_16_greedy,1,8
13,red,8,0_16_greedy,1,9
14,red,2,0_16_greedy,2,9
15,orange,2,0_16_greedy,2,9
16,red,29,0_16_greedy,2,11
17,red,2,0_16_greedy,3,11
18,blue,3,0_16_greedy,3,11
19,red,12,0_16_greedy,2,13
20,blue,9,0_16_greedy,3,16
21,blue,2,0_16_greedy,3,16
22,blue,12,0_16_greedy,3,19
23,red,20,0_16_greedy,3,22
24,purple,2,0_16_greedy,1000,22
25,orange,1,0_16_greedy,2,22
26,orange,3,0_16_greedy,1000,22
27,blue,5,0_16_greedy,1000,22
28,orange,2,0_16_greedy,2,22
29,orange,8,0_16_greedy,1000,22
30,orange,7,0_16_greedy,3,25
31,purple,1,0_16_greedy,1,25
32,red,14,0_16_greedy,3,28
33,purple,7,0_16_greedy,1,29
34,purple,1,0_16_greedy,1,29
35,red,4,0_16_greedy,4,29
36,red,1,0_16_greedy,4,29
37,red,8,0_16_greedy,1000,29
38,blue,4,0_16_greedy,4,29
39,purple,1,0_16_greedy,1,29
40,purple,3,0_16_greedy,1,30
41,blue,3,0_16_greedy,1000,30
42,red,6,0_16_greedy,1000,30
43,orange,1,0_16_greedy,3,30
44,purple,5,0_16_greedy,1,31
45,red,9,0_16_greedy,1000,31
46,red,2,0_16_greedy,5,31
47,blue,1,0_16_greedy,3,31
48,purple,1,0_16_greedy,1,31
49,red,24,0_16_greedy,4,35
50,purple,1,0_16_greedy,1,35
51,orange,4,0_16_greedy,3,38
52,purple,1,0_16_greedy,1,38
53,blue,5,0_16_greedy,3,41
54,red,26,0_16_greedy,5,46
55,red,20,0_16_greedy,5,51
56,red,1,0_16_greedy,1000,51
57,purple,1,0_16_greedy,1,51
58,purple,1,0_16_greedy,1000,51
59,purple,10,0_16_greedy,1,52
60,purple,1,0_16_greedy,1,52
61,purple,5,0_16_greedy,1,53
62,purple,1,0_16_greedy,1,53
63,red,8,0_16_greedy,1000,53
64,red,11,0_16_greedy,1000,53
65,purple,3,0_16_greedy,1,54
66,orange,1,0_16_greedy,3,54
67,purple,2,0_16_greedy,1,55
68,orange,3,0_16_greedy,3,55
69,blue,2,0_16_greedy,3,55
70,blue,1,0_16_greedy,3,55
71,orange,2,0_16_greedy,3,55
72,red,43,0_16_greedy,6,61
73,orange,4,0_16_greedy,3,64
74,orange,1,0_16_greedy,3,64
75,purple,2,0_16_greedy,1,65
76,orange,1,0_16_greedy,3,65
77,red,5,0_16_greedy,6,65
78,purple,1,0_16_greedy,1,65
79,red,2,0_16_greedy,1000,65
80,orange,2,0_16_greedy,3,65
81,blue,1,0_16_greedy,3,65
82,orange,7,0_16_greedy,2,67
83,orange,8,0_16_greedy,3,70
84,purple,1,0_16_greedy,1,70
85,red,25,0_16_greedy,1000,70
86,red,34,0_16_greedy,7,77
87,red,21,0_16_greedy,7,84
88,blue,3,0_16_greedy,1000,84
89,orange,1,0_16_greedy,3,84
90,orange,4,0_16_greedy,3,87
91,purple,3,0_16_greedy,1000,87
92,red,10,0_16_greedy,8,95
93,red,21,0_16_greedy,8,103
94,red,3,0_16_greedy,9,103
95,blue,1,0_16_greedy,3,103
96,purple,1,0_16_greedy,1000,103
97,red,1,0_16_greedy,9,103
98,orange,1,0_16_greedy,3,103
99,blue,1,0_16_greedy,3,103
