balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,3,0_08_greedy,1,1
1,red,1,0_08_greedy,3,1
2,orange,1,0_08_greedy,1,1
3,red,2,0_08_greedy,1,2
4,blue,1,0_08_greedy,1,2
5,orange,1,0_08_greedy,1,2
6,purple,1,0_08_greedy,1,2
7,blue,1,0_08_greedy,1,2
8,blue,1,0_08_greedy,1,2
9,red,3,0_08_greedy,2,4
10,red,1,0_08_greedy,3,4
11,orange,1,0_08_greedy,1,4
12,blue,1,0_08_greedy,1,4
13,red,1,0_08_greedy,2,4
14,blue,2,0_08_greedy,1,5
15,purple,2,0_08_greedy,1,6
16,orange,1,0_08_greedy,1,6
17,orange,1,0_08_greedy,1,6
18,red,1,0_08_greedy,2,6
19,orange,1,0_08_greedy,1,6
20,purple,1,0_08_greedy,1,6
21,red,1,0_08_greedy,1,6
22,orange,1,0_08_greedy,1,6
23,red,2,0_08_greedy,1,7
24,blue,1,0_08_greedy,1,7
25,red,1,0_08_greedy,1,7
26,red,2,0_08_greedy,1,8
27,orange,4,0_08_greedy,1,9
28,orange,1,0_08_greedy,1,9
29,red,4,0_08_greedy,1000,9
30,orange,1,0_08_greedy,1,9
31,blue,1,0_08_greedy,1,9
32,red,2,0_08_greedy,2,9
33,blue,1,0_08_greedy,1,9
34,blue,1,0_08_greedy,1000,9
35,blue,1,0_08_greedy,1,9
36,red,1,0_08_greedy,2,9
37,red,1,0_08_greedy,2,9
38,blue,1,0_08_greedy,1,9
39,red,1,0_08_greedy,1,9
40,blue,1,0_08_greedy,1000,9
41,blue,1,0_08_greedy,1,9
42,purple,1,0_08_greedy,1,9
43,blue,2,0_08_greedy,1,10
44,red,2,0_08_greedy,1,11
45,purple,1,0_08_greedy,1,11
46,orange,1,0_08_greedy,1,11
47,purple,1,0_08_greedy,1,11
48,purple,1,0_08_greedy,1000,11
49,purple,1,0_08_greedy,1,11
50,purple,1,0_08_greedy,1,11
51,blue,4,0_08_greedy,1,12
52,red,1,0_08_greedy,1,12
53,orange,1,0_08_greedy,1,12
54,orange,1,0_08_greedy,1,12
55,purple,1,0_08_greedy,1,12
56,orange,2,0_08_greedy,1,13
57,red,1,0_08_greedy,1,13
58,red,1,0_08_greedy,1,13
59,orange,2,0_08_greedy,1,14
60,red,1,0_08_greedy,1,14
61,blue,1,0_08_greedy,1,14
62,purple,1,0_08_greedy,1,14
63,orange,1,0_08_greedy,1,14
64,orange,1,0_08_greedy,1,14
65,orange,1,0_08_greedy,1000,14
66,purple,1,0_08_greedy,1,14
67,blue,1,0_08_greedy,1,14
68,red,1,0_08_greedy,1,14
69,orange,1,0_08_greedy,1,14
70,orange,2,0_08_greedy,1,15
71,orange,1,0_08_greedy,1,15
72,orange,1,0_08_greedy,1,15
73,purple,1,0_08_greedy,1,15
74,blue,2,0_08_greedy,1,16
75,red,1,0_08_greedy,1,16
76,blue,1,0_08_greedy,1,16
77,red,1,0_08_greedy,1,16
78,orange,1,0_08_greedy,1,16
79,red,1,0_08_greedy,1,16
80,blue,1,0_08_greedy,1,16
81,orange,1,0_08_greedy,1,16
82,blue,2,0_08_greedy,1,17
83,blue,3,0_08_greedy,1,18
84,blue,2,0_08_greedy,1,19
85,red,1,0_08_greedy,1,19
86,orange,1,0_08_greedy,1,19
87,orange,3,0_08_greedy,1,20
88,purple,1,0_08_greedy,1,20
89,red,1,0_08_greedy,1,20
90,blue,1,0_08_greedy,1,20
91,purple,1,0_08_greedy,1,20
92,blue,1,0_08_greedy,1000,20
93,red,3,0_08_greedy,1,21
94,purple,1,0_08_greedy,1,21
95,blue,1,0_08_greedy,1,21
96,red,2,0_08_greedy,1,22
97,blue,1,0_08_greedy,1,22
98,purple,1,0_08_greedy,1,22
99,orange,1,0_08_greedy,1,22
